PosRecip	yellow	4131973	2533180	484120	324456
Neg Recip	gray	4148934	3303379	482485	332800
Pro Norms	yellow	3373888	1638199	1915180	520027
Constrctv	yellow	3363221	4097869	1887224	467129
Pos Histo	yellow	1412807	2477343	1940877	467129
Neg Histo	gray	1412807	3311984	1974740	467129
Pos Goals	yellow	5354697	2455106	1909128	467129
Neg Goals	gray	5347060	3313887	1916765	467129
P-Symbols	yellow	7276284	1242969	1199111	463736
Cross-cut	yellow	1749073	814475	1199111	463736
Governanc	yellow	5676143	814476	1199111	463736
Conf Mgmt	yellow	3799218	4938701	1199111	463736
Proc Just	yellow	1749073	4938701	1199111	463736
Safe &sec	yellow	5676143	4938702	1199111	463736
P-Leaders	yellow	7775093	436726	1037385	499333
Sust Deve	yellow	3877509	6208638	1037385	330124
Transcend	yellow	321374	447572	1037385	502920
Peace Edu	yellow	1811348	202053	1037385	330124
Shared Id	yellow	3920913	388193	1037385	547865
P-vision	yellow	5757007	202053	1037385	330124
EqResourc	yellow	1628179	6334399	1607678	330123
Info Flow	yellow	321374	5449613	1037385	330124
BasicNeed	yellow	3863997	5614675	1144159	330124
Dvalu Vio	yellow	6298279	5724180	1328757	330124
RuleofLaw	yellow	2172498	5656630	1037385	330124
